site_number,customer_no,customer_name,city,state,country,email,phone_number,premise_code,license_type,license_name,license_original_issue_date,license_expiry_date,status,cust_onboarded_dt,engagement_channel,last_engagement_date,recent_purchase_date,customer_segment,email_open_rate,sms_open_rate,last_updated
1,1,PQS LIQUOR,Los Angeles,CA,US,sales@pqsliquor.com,8104221194,OFF,21,Off-Sale General,22/7/2004,30/6/2024,A,2023-01-12,Both,2021-08-08,2021-08-08,Loyal,85%,60%,2021-08-08
1,2,A AND S MARKET,Los Angeles,CA,US,sales@asmarket.com,2879989483,OFF,21,Off-Sale General,09/03/08,30/6/2024,A,2023-01-12,On,2021-08-08,2021-08-08,High-Value,90%,70%,2021-08-08
1,3,RITE STORE 5457,Los Angeles,CA,US,sales-5457@ritestore.com,6287884190,OFF,21,Off-Sale General,19/6/2000,30/6/2024,A,2021-08-08,Off,2021-08-08,2021-08-08,Low-Value,50%,30%,2021-08-08
1,4,BIGG 7 LIQUOR,Los Angeles,CA,US,sales@bigg7liquor.com,9695778897,OFF,21,Off-Sale General,04/11/09,30/6/2024,A,2021-08-08,On,2023-01-12,2023-01-12,High-Value,92%,75%,2023-01-12
1,5,RALPPS 126,Los Angeles,CA,US,sales-126@ralpps.com,2879989484,OFF,21,Off-Sale General,12/03/08,30/6/2024,A,2023-01-12,Off,2021-08-08,2021-08-08,Low-Value,45%,20%,2021-08-08
1,6,WESTWAYS MARKET & WINE,Los Angeles,CA,US,sales@westways.com,2879989485,OFF,21,Off-Sale General,08/10/06,30/6/2024,A,2021-08-08,On,2021-08-08,2021-08-08,High-Value,88%,65%,2021-08-08
1,7,Verchers Liquor,Los Angeles,CA,US,sales@verchersliquor.com,2879989486,OFF,21,Off-Sale General,09/10/06,30/6/2024,A,2023-01-12,Off,2023-01-12,2023-01-12,Low-Value,40%,15%,2023-01-12
1,8,Hankook Super Store,Los Angeles,CA,US,sales@hankooksuperstore.com,2879189486,OFF,21,Off-Sale General,10/10/06,30/6/2024,A,2021-08-08,On,2023-01-12,2023-01-12,High-Value,85%,80%,2023-01-12
1,9,Jacks Markets,Los Angeles,CA,US,sales@jacksmarkets.com,2889189486,OFF,21,Off-Sale General,22/7/2005,28/2/2025,A,2023-01-12,Both,2023-01-12,2023-01-12,Loyal,90%,72%,2023-01-12
1,10,J & J,Los Angeles,CA,US,sales@jnj.com,2879989489,BOTH,21,Off-Sale General,22/7/2006,28/2/2025,A,2021-08-08,Off,2021-08-08,2021-08-08,Low-Value,48%,28%,2021-08-08
1,11,Leeds Liquor,Los Angeles,CA,US,sales@leedsliquor.com,2879989490,OFF,21,Off-Sale General,09/02/02,28/2/2025,A,2021-08-08,Off,2023-01-12,2023-01-12,Low-Value,55%,30%,2023-01-12
