Month,Metric,Region,Product Category,Customer Segment,Marketing Channel,product_seasonality,customer_segment,Value
2024-01,Product Affinity Score,North,Beer,High-Value,Email,Summer,Mid Value,87.45
2024-01,Product Affinity Score,North,Beer,High-Value,Social Media,Spring,High Value,123.2
2024-01,Product Affinity Score,North,Beer,High-Value,SMS,Winter,High Value,65.6
2024-01,Product Affinity Score,North,Beer,High-Value,Direct Mail,Fall,Mid Value,55.81
2024-01,Product Affinity Score,North,Beer,Medium-Value,Email,Spring,Low Value,110.11
2024-01,Product Affinity Score,North,Beer,Medium-Value,Social Media,Winter,Low Value,52.06
2024-01,Product Affinity Score,North,Beer,Medium-Value,SMS,Winter,Low Value,133.24
2024-01,Product Affinity Score,North,Beer,Medium-Value,Direct Mail,Fall,High Value,68.18
2024-01,Product Affinity Score,North,Beer,Low-Value,Email,Summer,High Value,80.42
2024-01,Product Affinity Score,North,Beer,Low-Value,Social Media,Summer,High Value,93.19
2024-01,Product Affinity Score,North,Beer,Low-Value,SMS,Spring,Low Value,111.19
2024-01,Product Affinity Score,North,Beer,Low-Value,Direct Mail,Winter,Mid Value,79.21
2024-01,Product Affinity Score,North,Wine,High-Value,Email,Fall,Low Value,95.61
2024-01,Product Affinity Score,North,Wine,High-Value,Social Media,Winter,Mid Value,69.97
2024-01,Product Affinity Score,North,Wine,High-Value,SMS,Winter,Low Value,230.23
2024-01,Product Affinity Score,North,Wine,High-Value,Direct Mail,Winter,High Value,67.05
2024-01,Product Affinity Score,North,Wine,Medium-Value,Email,Winter,Low Value,144.89
2024-01,Product Affinity Score,North,Wine,Medium-Value,Social Media,Spring,Mid Value,130.84
2024-01,Product Affinity Score,North,Wine,Medium-Value,SMS,Fall,High Value,59.77
2024-01,Product Affinity Score,North,Wine,Medium-Value,Direct Mail,Spring,Low Value,94.02
2024-01,Product Affinity Score,North,Wine,Low-Value,Email,Spring,High Value,239.77
2024-01,Product Affinity Score,North,Wine,Low-Value,Social Media,Fall,Low Value,75.88
2024-01,Product Affinity Score,North,Wine,Low-Value,SMS,Fall,Low Value,81.17
2024-01,Product Affinity Score,North,Wine,Low-Value,Direct Mail,Fall,High Value,104.67
2024-01,Product Affinity Score,North,Spirits,High-Value,Email,Winter,Low Value,146.96
2024-01,Product Affinity Score,North,Spirits,High-Value,Social Media,Fall,Low Value,143.95
2024-01,Product Affinity Score,North,Spirits,High-Value,SMS,Summer,High Value,109.79
2024-01,Product Affinity Score,North,Spirits,High-Value,Direct Mail,Spring,Mid Value,58.85
2024-01,Product Affinity Score,North,Spirits,Medium-Value,Email,Winter,High Value,54.52
2024-01,Product Affinity Score,North,Spirits,Medium-Value,Social Media,Fall,Low Value,88.87
2024-01,Product Affinity Score,North,Spirits,Medium-Value,SMS,Fall,Mid Value,132.87
2024-01,Product Affinity Score,North,Spirits,Medium-Value,Direct Mail,Fall,Low Value,78.09
2024-01,Product Affinity Score,North,Spirits,Low-Value,Email,Winter,Low Value,64.09
2024-01,Product Affinity Score,North,Spirits,Low-Value,Social Media,Summer,Low Value,57.46
2024-01,Product Affinity Score,North,Spirits,Low-Value,SMS,Fall,Mid Value,127.22
2024-01,Product Affinity Score,North,Spirits,Low-Value,Direct Mail,Winter,High Value,50.55
2024-01,Product Affinity Score,North,Non-Alcoholic,High-Value,Email,Winter,High Value,120.69
2024-01,Product Affinity Score,North,Non-Alcoholic,High-Value,Social Media,Spring,Low Value,127.13
2024-01,Product Affinity Score,North,Non-Alcoholic,High-Value,SMS,Spring,Mid Value,85.85
2024-01,Product Affinity Score,North,Non-Alcoholic,High-Value,Direct Mail,Summer,High Value,136.31
2024-01,Product Affinity Score,North,Non-Alcoholic,Medium-Value,Email,Spring,Low Value,83.09
2024-01,Product Affinity Score,North,Non-Alcoholic,Medium-Value,Social Media,Spring,Mid Value,81.1
2024-01,Product Affinity Score,North,Non-Alcoholic,Medium-Value,SMS,Fall,High Value,122.96
2024-01,Product Affinity Score,North,Non-Alcoholic,Medium-Value,Direct Mail,Spring,Mid Value,138.72
2024-01,Product Affinity Score,North,Non-Alcoholic,Low-Value,Email,Winter,Mid Value,61.96
2024-01,Product Affinity Score,North,Non-Alcoholic,Low-Value,Social Media,Summer,Low Value,126.08
2024-01,Product Affinity Score,North,Non-Alcoholic,Low-Value,SMS,Winter,Mid Value,127.1
2024-01,Product Affinity Score,North,Non-Alcoholic,Low-Value,Direct Mail,Spring,High Value,102.27
2024-01,Product Affinity Score,South,Beer,High-Value,Email,Winter,Mid Value,52.54
2024-01,Product Affinity Score,South,Beer,High-Value,Social Media,Fall,Mid Value,53.14
2024-01,Product Affinity Score,South,Beer,High-Value,SMS,Winter,Low Value,81.44
2024-01,Product Affinity Score,South,Beer,High-Value,Direct Mail,Spring,High Value,140.76
2024-01,Product Affinity Score,South,Beer,Medium-Value,Email,Summer,High Value,91.04
2024-01,Product Affinity Score,South,Beer,Medium-Value,Social Media,Summer,Low Value,72.88
2024-01,Product Affinity Score,South,Beer,Medium-Value,SMS,Winter,Low Value,78.98
2024-01,Product Affinity Score,South,Beer,Medium-Value,Direct Mail,Summer,Mid Value,142.97
2024-01,Product Affinity Score,South,Beer,Low-Value,Email,Spring,High Value,113.34
2024-01,Product Affinity Score,South,Beer,Low-Value,Social Media,Spring,Mid Value,130.37
2024-01,Product Affinity Score,South,Beer,Low-Value,SMS,Winter,High Value,139.26
2024-01,Product Affinity Score,South,Beer,Low-Value,Direct Mail,Winter,High Value,130.74
2024-01,Product Affinity Score,South,Wine,High-Value,Email,Summer,Low Value,81.8
2024-01,Product Affinity Score,South,Wine,High-Value,Social Media,Fall,High Value,72.79
2024-01,Product Affinity Score,South,Wine,High-Value,SMS,Winter,Mid Value,131.8
2024-01,Product Affinity Score,South,Wine,High-Value,Direct Mail,Summer,Low Value,50.7
2024-01,Product Affinity Score,South,Wine,Medium-Value,Email,Winter,Low Value,91.74
2024-01,Product Affinity Score,South,Wine,Medium-Value,Social Media,Winter,Low Value,61.99
2024-01,Product Affinity Score,South,Wine,Medium-Value,SMS,Fall,High Value,144.29
2024-01,Product Affinity Score,South,Wine,Medium-Value,Direct Mail,Winter,Low Value,101.88
2024-01,Product Affinity Score,South,Wine,Low-Value,Email,Summer,High Value,86.36
2024-01,Product Affinity Score,South,Wine,Low-Value,Social Media,Winter,High Value,146.24
2024-01,Product Affinity Score,South,Wine,Low-Value,SMS,Winter,High Value,99.72
2024-01,Product Affinity Score,South,Wine,Low-Value,Direct Mail,Spring,Low Value,165.57
2024-01,Product Affinity Score,South,Spirits,High-Value,Email,Winter,Mid Value,100.27
2024-01,Product Affinity Score,South,Spirits,High-Value,Social Media,Fall,High Value,77.86
2024-01,Product Affinity Score,South,Spirits,High-Value,SMS,Spring,High Value,73.96
2024-01,Product Affinity Score,South,Spirits,High-Value,Direct Mail,Summer,Mid Value,98.95
2024-01,Product Affinity Score,South,Spirits,Medium-Value,Email,Summer,Low Value,74.21
2024-01,Product Affinity Score,South,Spirits,Medium-Value,Social Media,Fall,High Value,126.16
2024-01,Product Affinity Score,South,Spirits,Medium-Value,SMS,Fall,High Value,122.82
2024-01,Product Affinity Score,South,Spirits,Medium-Value,Direct Mail,Spring,Low Value,113.23
2024-01,Product Affinity Score,South,Spirits,Low-Value,Email,Summer,High Value,103.58
2024-01,Product Affinity Score,South,Spirits,Low-Value,Social Media,Spring,High Value,133.53
2024-01,Product Affinity Score,South,Spirits,Low-Value,SMS,Winter,High Value,143.54
2024-01,Product Affinity Score,South,Spirits,Low-Value,Direct Mail,Summer,Mid Value,236.94
2024-01,Product Affinity Score,South,Non-Alcoholic,High-Value,Email,Fall,Mid Value,72.65
2024-01,Product Affinity Score,South,Non-Alcoholic,High-Value,Social Media,Spring,Mid Value,67.44
2024-01,Product Affinity Score,South,Non-Alcoholic,High-Value,SMS,Fall,High Value,88.67
2024-01,Product Affinity Score,South,Non-Alcoholic,High-Value,Direct Mail,Winter,Low Value,63.75
2024-01,Product Affinity Score,South,Non-Alcoholic,Medium-Value,Email,Spring,Low Value,61.35
2024-01,Product Affinity Score,South,Non-Alcoholic,Medium-Value,Social Media,Summer,High Value,137.73
2024-01,Product Affinity Score,South,Non-Alcoholic,Medium-Value,SMS,Spring,Mid Value,116
2024-01,Product Affinity Score,South,Non-Alcoholic,Medium-Value,Direct Mail,Fall,Mid Value,105.52
2024-01,Product Affinity Score,South,Non-Alcoholic,Low-Value,Email,Fall,Low Value,74.19
2024-01,Product Affinity Score,South,Non-Alcoholic,Low-Value,Social Media,Winter,Mid Value,139.72
2024-01,Product Affinity Score,South,Non-Alcoholic,Low-Value,SMS,Spring,High Value,113.31
2024-01,Product Affinity Score,South,Non-Alcoholic,Low-Value,Direct Mail,Spring,Mid Value,84.92
2024-01,Product Affinity Score,East,Beer,High-Value,Email,Winter,High Value,139.71
2024-01,Product Affinity Score,East,Beer,High-Value,Social Media,Summer,Low Value,127.99
2024-01,Product Affinity Score,East,Beer,High-Value,SMS,Fall,Low Value,58.41
2024-01,Product Affinity Score,East,Beer,High-Value,Direct Mail,Summer,Low Value,139.86
2024-01,Product Affinity Score,East,Beer,Medium-Value,Email,Summer,Low Value,50.92
2024-01,Product Affinity Score,East,Beer,Medium-Value,Social Media,Spring,Mid Value,193.24
2024-01,Product Affinity Score,East,Beer,Medium-Value,SMS,Winter,High Value,104.87
2024-01,Product Affinity Score,East,Beer,Medium-Value,Direct Mail,Summer,Mid Value,115.2
2024-01,Product Affinity Score,East,Beer,Low-Value,Email,Summer,High Value,121.22
2024-01,Product Affinity Score,East,Beer,Low-Value,Social Media,Summer,Low Value,82.54
2024-01,Product Affinity Score,East,Beer,Low-Value,SMS,Fall,Mid Value,114.96
2024-01,Product Affinity Score,East,Beer,Low-Value,Direct Mail,Spring,Low Value,115.76
2024-01,Product Affinity Score,East,Wine,High-Value,Email,Summer,Low Value,59.37
2024-01,Product Affinity Score,East,Wine,High-Value,Social Media,Summer,Low Value,76.52
2024-01,Product Affinity Score,East,Wine,High-Value,SMS,Fall,Mid Value,147.3
2024-01,Product Affinity Score,East,Wine,High-Value,Direct Mail,Fall,Mid Value,139.2
2024-01,Product Affinity Score,East,Wine,Medium-Value,Email,Fall,Low Value,129.48
2024-01,Product Affinity Score,East,Wine,Medium-Value,Social Media,Winter,Low Value,107.69
2024-01,Product Affinity Score,East,Wine,Medium-Value,SMS,Fall,Mid Value,69.52
2024-01,Product Affinity Score,East,Wine,Medium-Value,Direct Mail,Spring,High Value,167.51
2024-01,Product Affinity Score,East,Wine,Low-Value,Email,Fall,Low Value,67.71
2024-01,Product Affinity Score,East,Wine,Low-Value,Social Media,Summer,Mid Value,145.39
2024-01,Product Affinity Score,East,Wine,Low-Value,SMS,Summer,High Value,211.3
2024-01,Product Affinity Score,East,Wine,Low-Value,Direct Mail,Spring,High Value,92.82
2024-01,Product Affinity Score,East,Spirits,High-Value,Email,Summer,Mid Value,146.36
2024-01,Product Affinity Score,East,Spirits,High-Value,Social Media,Spring,High Value,79.44
2024-01,Product Affinity Score,East,Spirits,High-Value,SMS,Winter,High Value,135.11
2024-01,Product Affinity Score,East,Spirits,High-Value,Direct Mail,Winter,High Value,66.95
2024-01,Product Affinity Score,East,Spirits,Medium-Value,Email,Fall,Mid Value,143.62
