sales_sk,invoice_dt_sk,customer_no,cases,unit_price,ext_net,ext_cost,ext_participation,cqd_amt,order_no,invoice_no,site,item_no,sales_channel,order_status,shipment_date,delivery_date,customer_type,sales_rep_id
26-0000001-0006407-1-010501,2023-04-17,26-0000001,32,22,8448,7604,380,608,6394,6407,26,10501,Online,Completed,2024-01-02,2024-01-05,Returning,2001
01-0000023-0002273-1-010501,2022-09-13,01-0000023,1,22,264,238,12,24,2260,2273,1,10501,Mobile App,Completed,2024-01-04,2024-01-07,New,2002
01-0000001-0007428-1-010501,2022-12-02,01-0000001,1,22,264,238,24,24,7415,7428,1,10501,In-Store,Completed,2024-01-05,2024-01-09,VIP,2003
28-0000001-0005309-1-010501,2022-04-22,28-0000001,33,22,8712,7841,392,549,5296,5309,28,10501,In-Store,Completed,2024-01-07,2024-01-10,Returning,2001
05-0000002-0002882-1-010501,2022-04-26,05-0000002,2,22,528,476,24,29,2869,2882,5,10501,Online,Completed,2024-01-08,2024-01-12,New,2005
21-0000005-0000780-1-010501,2023-01-19,21-0000005,34,22,8976,8079,242,404,769,780,21,10501,Mobile App,Completed,2024-01-09,2024-01-13,VIP,2006
01-0000018-0002149-1-010501,2023-05-31,01-0000018,34,22,8976,8079,808,566,2136,2149,1,10501,Online,Canceled,-,-,Business,2007
04-0000003-0005601-1-010501,2023-11-29,04-0000003,34,22,8976,8079,404,646,5588,5601,4,10501,In-Store,Completed,2024-01-12,2024-01-15,Returning,2008
01-0000001-0007755-1-010501,2022-05-23,01-0000001,3,22,792,713,36,71,7742,7755,1,10501,In-Store,Completed,2024-01-13,2024-01-17,New,2009
12-0000001-0005283-1-010501,2022-11-18,12-0000001,3,22,792,713,29,43,5270,5283,12,10501,Online,Completed,2024-01-15,2024-01-18,VIP,2010
01-0000007-0002018-1-010501,2023-02-03,01-0000007,3,22,792,713,29,43,2005,2018,1,10501,Mobile App,Pending,-,-,Returning,2011
05-0000001-0004619-1-010501,2023-04-20,05-0000001,3,22,792,713,36,57,4606,4619,5,10501,Online,Completed,2024-01-18,2024-01-22,Business,2012
16-0000001-0003177-1-010501,2023-05-14,16-0000001,3,22,792,713,71,36,3164,3177,16,10501,In-Store,Completed,2024-01-19,2024-01-23,VIP,2013
13-0000002-0003250-1-010501,2023-07-04,13-0000002,3,22,792,713,14,71,3237,3250,13,10501,Online,Returned,2024-01-21,2024-01-24,Returning,2014
29-0000005-0000385-1-010501,2022-03-15,29-0000005,35,22,9240,8316,249,832,380,385,29,10501,Mobile App,Completed,2024-01-22,2024-01-26,New,2015
26-0000001-0007206-1-010501,2022-03-21,26-0000001,35,22,9240,8316,582,748,7193,7206,26,10501,Online,Completed,2024-01-24,2024-01-28,Returning,2016
24-0000001-0006633-1-010501,2023-12-18,24-0000001,35,22,9240,8316,582,832,6620,6633,24,10501,In-Store,Completed,2024-01-25,2024-01-29,VIP,2017
01-0000032-0000107-1-010501,2022-02-13,01-0000032,4,22,1056,951,29,86,103,107,1,10501,In-Store,Completed,2024-01-26,2024-01-30,New,2018
11-0000001-0004408-1-010501,2022-09-10,11-0000001,4,22,1056,951,48,48,4395,4408,11,10501,Online,Completed,2024-01-28,2024-02-01,Business,2019
08-0000002-0000251-1-010501,2022-03-16,08-0000002,36,22,9504,8554,171,513,246,251,8,10501,Mobile App,Completed,2024-01-29,2024-02-02,Returning,2020
04-0000004-0004518-1-010501,2023-03-22,04-0000004,5,22,1320,1188,36,119,4505,4518,4,10501,Online,Completed,2024-02-01,2024-02-05,New,2021
34-0000006-0003773-1-010501,2023-06-15,34-0000006,5,22,1320,1188,24,83,3760,3773,34,10501,Mobile App,Completed,2024-02-02,2024-02-06,VIP,2022
02-0000004-0002471-1-010501,2024-01-07,02-0000004,5,22,1320,1188,59,107,2458,2471,2,10501,In-Store,Pending,-,-,Returning,2023
18-0000007-0000660-1-010501,2022-12-31,18-0000007,37,22,9768,8792,264,791,649,660,18,10501,Online,Completed,2024-02-04,2024-02-08,Business,2024
38-0000001-0006894-1-010501,2024-02-15,38-0000001,37,22,9768,8792,879,528,6881,6894,38,10501,Mobile App,Canceled,-,-,New,2025
39-0000002-0005789-1-010501,2023-01-25,39-0000002,6,22,1584,1426,57,143,5776,5789,39,10501,In-Store,Completed,2024-02-06,2024-02-10,VIP,2026
12-0000010-0001607-1-010501,2023-09-30,12-0000010,6,22,1584,1426,29,128,1594,1607,12,10501,Online,Completed,2024-02-07,2024-02-11,Returning,2027
01-0000028-0000062-1-010501,2022-04-26,01-0000028,38,22,10032,9029,903,542,59,62,1,10501,Online,Returned,2024-02-08,2024-02-12,New,2028
39-0000002-0007881-1-010501,2023-03-28,39-0000002,38,22,10032,9029,181,813,7868,7881,39,10501,Mobile App,Completed,2024-02-09,2024-02-13,VIP,2029
12-0000010-0001634-1-010501,2022-03-31,12-0000010,7,22,1848,1664,166,133,1621,1634,12,10501,In-Store,Completed,2024-02-10,2024-02-14,Business,2030
32-0000001-0006888-1-010501,2022-09-18,32-0000001,7,22,1848,1664,33,83,6875,6888,32,10501,Online,Completed,2024-02-12,2024-02-16,Returning,2031
01-0000004-0004829-1-010501,2022-09-27,01-0000004,7,22,1848,1664,50,133,4816,4829,1,10501,Mobile App,Completed,2024-02-13,2024-02-17,New,2032
37-0000001-0005930-1-010501,2023-08-02,37-0000001,7,22,1848,1664,166,150,5917,5930,37,10501,In-Store,Canceled,-,-,VIP,2033
29-0000003-0007258-1-010501,2023-09-13,29-0000003,7,22,1848,1664,116,150,7245,7258,29,10501,Online,Completed,2024-02-15,2024-02-19,Business,2034
21-0000006-0001085-1-010501,2022-09-21,21-0000006,39,22,10296,9267,278,649,1074,1085,21,10501,Mobile App,Completed,2024-02-16,2024-02-20,Returning,2035
21-0000006-0001120-1-010501,2023-11-25,21-0000006,8,22,2112,1901,57,114,1109,1120,21,10501,In-Store,Pending,-,-,New,2036
20-0000004-0000352-1-010501,2022-09-06,20-0000004,40,22,10560,9504,475,475,347,352,20,10501,Online,Completed,2024-02-18,2024-02-22,VIP,2037
34-0000001-0003716-1-010501,2023-09-01,34-0000001,40,22,10560,9504,190,570,3703,3716,34,10501,Mobile App,Completed,2024-02-19,2024-02-23,Business,2038
32-0000001-0003969-1-010501,2023-09-23,32-0000001,40,22,10560,9504,665,570,3956,3969,32,10501,In-Store,Returned,2024-02-20,2024-02-24,Returning,2039
39-0000002-0003977-1-010501,2022-04-01,39-0000002,9,22,2376,2139,43,171,3964,3977,39,10501,Online,Completed,2024-02-21,2024-02-25,New,2040
32-0000001-0006665-1-010501,2023-03-12,32-0000001,9,22,2376,2139,214,150,6652,6665,32,10501,Mobile App,Completed,2024-02-22,2024-02-26,VIP,2041
01-0000006-0002014-1-010501,2022-05-29,01-0000006,41,22,10824,9742,390,974,2001,2014,1,10501,In-Store,Completed,2024-02-23,2024-02-27,Business,2042
16-0000001-0003183-1-010501,2022-09-02,16-0000001,41,22,10824,9742,292,877,3170,3183,16,10501,Online,Canceled,-,-,Returning,2043
01-0000003-0006856-1-010501,2022-09-06,01-0000003,10,22,2640,2376,238,166,6843,6856,1,10501,Mobile App,Completed,2024-02-25,2024-02-29,New,2044
38-0000002-0003724-1-010501,2023-03-19,38-0000002,10,22,2640,2376,48,143,3711,3724,38,10501,In-Store,Completed,2024-02-26,2024-03-01,VIP,2045
13-0000001-0007391-1-010501,2023-10-11,13-0000001,10,22,2640,2376,71,166,7378,7391,13,10501,Online,Completed,2024-02-01,2024-02-05,New,2021
02-0000002-0001381-1-010501,2023-07-24,02-0000002,42,22,11088,9980,200,699,1368,1381,2,10501,Mobile App,Completed,2024-02-02,2024-02-06,VIP,2022
21-0000006-0001133-1-010501,2023-12-31,21-0000006,42,22,11088,9980,200,898,1122,1133,21,10501,In-Store,Pending,-,-,Returning,2023
